ask,bid,call_put,date,delta,gamma,strike,theta,vega,vol,option_price,iv_percent,days_to_expiration
27.7,27.45,Call,2024-12-17,0.8489,0.0085,230.0,-0.0696,0.2522,0.2528,27.575,25.28,66
23.65,23.0,Call,2024-12-18,0.7621,0.0102,230.0,-0.0832,0.3211,0.2866,23.325,28.660000000000004,65
25.35,24.75,Call,2024-12-19,0.8318,0.0097,230.0,-0.0869,0.267,0.2507,25.05,25.069999999999997,64
30.95,27.4,Call,2024-12-20,0.7971,0.0081,230.0,-0.0799,0.2937,0.3231,29.174999999999997,32.31,63
29.1,28.85,Call,2024-12-23,0.8791,0.0078,230.0,-0.0694,0.2091,0.2498,28.975,24.98,60
31.65,31.35,Call,2024-12-24,0.8799,0.007,230.0,-0.0701,0.2076,0.2715,31.5,27.150000000000002,59
31.65,31.35,Call,2024-12-25,0.8799,0.007,230.0,-0.0701,0.2076,0.2715,31.5,27.150000000000002,58
29.3,28.9,Call,2024-12-27,0.8608,0.0079,230.0,-0.0745,0.221,0.2766,29.1,27.66,56
26.05,24.8,Call,2024-12-30,0.8522,0.0093,230.0,-0.0735,0.2211,0.2567,25.425,25.669999999999998,53
24.35,24.1,Call,2024-12-31,0.8291,0.01,230.0,-0.0818,0.2395,0.2677,24.225,26.77,52
24.35,24.1,Call,2025-01-01,0.8291,0.01,230.0,-0.0818,0.2395,0.2677,24.225,26.77,51
18.8,18.55,Call,2025-01-02,0.7581,0.013,230.0,-0.0923,0.2813,0.2647,18.675,26.47,50
18.0,17.8,Call,2025-01-03,0.7592,0.0136,230.0,-0.0891,0.2771,0.2551,17.9,25.509999999999998,49
19.1,18.9,Call,2025-01-06,0.7831,0.0129,230.0,-0.0887,0.2547,0.2591,19.0,25.91,46
16.95,16.75,Call,2025-01-07,0.7452,0.0143,230.0,-0.0943,0.2723,0.2613,16.85,26.13,45
17.5,16.9,Call,2025-01-08,0.7525,0.0141,230.0,-0.0946,0.2656,0.2636,17.2,26.36,44
7.65,7.5,Call,2025-01-27,0.5263,0.0216,230.0,-0.1556,0.2394,0.3056,7.575,30.56,25
2.25,2.19,Put,2024-12-17,-0.1509,0.0087,230.0,-0.0439,0.2618,0.2512,2.2199999999999998,25.119999999999997,66
3.7,3.55,Put,2024-12-18,-0.2195,0.0109,230.0,-0.0579,0.3141,0.2612,3.625,26.119999999999997,65
3.6,2.6,Put,2024-12-19,-0.191,0.0098,230.0,-0.052,0.2828,0.2691,3.1,26.91,64
2.69,2.25,Put,2024-12-20,-0.1582,0.0086,230.0,-0.0524,0.261,0.2665,2.4699999999999998,26.650000000000002,63
2.03,1.97,Put,2024-12-23,-0.1366,0.008,230.0,-0.046,0.2325,0.2662,2.0,26.619999999999997,60
1.76,1.7,Put,2024-12-24,-0.1196,0.0071,230.0,-0.0439,0.2107,0.27,1.73,27.0,59
1.76,1.7,Put,2024-12-25,-0.1196,0.0071,230.0,-0.0439,0.2107,0.27,1.73,27.0,58
2.03,1.94,Put,2024-12-27,-0.1366,0.008,230.0,-0.05,0.2279,0.2732,1.9849999999999999,27.32,56
2.36,2.28,Put,2024-12-30,-0.1608,0.0094,230.0,-0.0561,0.2426,0.2718,2.32,27.18,53
2.4,2.35,Put,2024-12-31,-0.1696,0.0101,230.0,-0.0564,0.2398,0.2649,2.375,26.490000000000002,52
2.4,2.35,Put,2025-01-01,-0.1696,0.0101,230.0,-0.0564,0.2398,0.2649,2.375,26.490000000000002,51
3.6,3.45,Put,2025-01-02,-0.2416,0.0133,230.0,-0.0679,0.2882,0.2619,3.5250000000000004,26.19,50
3.35,3.25,Put,2025-01-03,-0.2395,0.014,230.0,-0.0655,0.2788,0.2514,3.3,25.14,49
2.85,2.75,Put,2025-01-06,-0.2136,0.0133,230.0,-0.0651,0.2623,0.2541,2.8,25.41,46
3.5,3.4,Put,2025-01-07,-0.2526,0.0147,230.0,-0.0721,0.2762,0.2567,3.45,25.669999999999998,45
3.3,3.15,Put,2025-01-08,-0.2424,0.0146,230.0,-0.0715,0.2657,0.2558,3.2249999999999996,25.580000000000002,44
7.25,7.15,Put,2025-01-27,-0.4789,0.0218,230.0,-0.1403,0.2393,0.3059,7.2,30.59,25
